DATE-TIME	LANE	VOLUME (Veh/10sec)	VEL (MPH)	OCC %	%MID	%LARGE	SENSOR-TIME
9/25/06 1:12 AM	1	1	48	9.5	0	100	212451140
9/25/06 1:12 AM	1	0	48	0	0	0	212451150
9/25/06 1:12 AM	1	1	50	10.1	0	100	212451160
9/25/06 1:12 AM	1	1	52	8.5	0	100	212451170
9/25/06 1:13 AM	1	0	52	0	0	0	212451180
9/25/06 1:13 AM	1	1	50	10.5	0	100	212451190
9/25/06 1:13 AM	1	0	50	0	0	0	212451200
9/25/06 1:13 AM	1	0	50	0	0	0	212451210
9/25/06 1:13 AM	1	1	49	2.7	0	0	212451220
9/25/06 1:13 AM	1	0	49	0	0	0	212451230
9/25/06 1:14 AM	1	0	49	0	0	0	212451240
9/25/06 1:14 AM	1	1	49	2.4	0	0	212451250
9/25/06 1:14 AM	1	1	49	10.4	0	100	212451260
9/25/06 1:14 AM	1	1	45	8.7	0	100	212451270
9/25/06 1:14 AM	1	0	45	0	0	0	212451280
9/25/06 1:14 AM	1	0	45	0	0	0	212451290
9/25/06 1:15 AM	1	1	45	9.6	0	100	212451300
9/25/06 1:15 AM	1	1	48	2.4	0	0	212451310
9/25/06 1:15 AM	1	1	47	15.8	0	100	212451320
9/25/06 1:15 AM	1	2	47	11.6	0	100	212451330
9/25/06 1:15 AM	1	1	47	10.8	0	100	212451340
9/25/06 1:15 AM	1	0	47	0	0	0	212451350
9/25/06 1:16 AM	1	3	48	19.5	0	66.6	212451360
9/25/06 1:16 AM	1	0	48	0	0	0	212451370
9/25/06 1:16 AM	1	0	48	0	0	0	212451380
9/25/06 1:16 AM	1	0	48	0	0	0	212451390
9/25/06 1:16 AM	1	1	47	10	0	100	212451400
9/25/06 1:16 AM	1	0	47	0	0	0	212451410
9/25/06 1:17 AM	1	2	46	13.4	0	50	212451420
9/25/06 1:17 AM	1	0	46	0	0	0	212451430
9/25/06 1:17 AM	1	0	46	0	0	0	212451440
9/25/06 1:17 AM	1	0	46	0	0	0	212451450
9/25/06 1:17 AM	1	0	46	0	0	0	212451460
9/25/06 1:17 AM	1	1	46	9	0	100	212451470
9/25/06 1:18 AM	1	0	46	0	0	0	212451480
9/25/06 1:18 AM	1	0	46	0	0	0	212451490
9/25/06 1:18 AM	1	0	46	0	0	0	212451500
9/25/06 1:18 AM	1	0	46	0	0	0	212451510
9/25/06 1:18 AM	1	0	46	0	0	0	212451520
9/25/06 1:18 AM	1	0	46	0	0	0	212451530
9/25/06 1:19 AM	1	2	43	17.1	0	100	212451540
9/25/06 1:19 AM	1	1	40	9.4	0	100	212451550
9/25/06 1:19 AM	1	1	44	2.7	100	0	212451560
9/25/06 1:19 AM	1	0	44	0	0	0	212451570
9/25/06 1:19 AM	1	1	47	1.8	100	0	212451580
9/25/06 1:19 AM	1	0	47	0	0	0	212451590
9/25/06 1:20 AM	1	0	47	0	0	0	212451600
9/25/06 1:20 AM	1	0	47	0	0	0	212451610
9/25/06 1:20 AM	1	0	47	0	0	0	212451620
9/25/06 1:20 AM	1	0	47	0	0	0	212451630
9/25/06 1:20 AM	1	2	46	18.8	0	100	212451640
9/25/06 1:20 AM	1	0	46	0	0	0	212451650
9/25/06 1:21 AM	1	1	44	9.9	0	100	212451660
9/25/06 1:21 AM	1	0	44	0	0	0	212451670
9/25/06 1:21 AM	1	0	44	0	0	0	212451680
9/25/06 1:21 AM	1	1	43	6	0	100	212451690
9/25/06 1:21 AM	1	0	43	0	0	0	212451700
9/25/06 1:21 AM	1	1	42	9.7	0	100	212451710
9/25/06 1:22 AM	1	0	42	0	0	0	212451720
9/25/06 1:22 AM	1	0	42	0	0	0	212451730
9/25/06 1:22 AM	1	1	44	9.3	0	100	212451740
9/25/06 1:22 AM	1	0	44	0	0	0	212451750
9/25/06 1:22 AM	1	1	45	2.4	0	0	212451760
9/25/06 1:22 AM	1	0	45	0	0	0	212451770
9/25/06 1:23 AM	1	0	45	0	0	0	212451780
9/25/06 1:23 AM	1	1	46	2.3	0	0	212451790
9/25/06 1:23 AM	1	0	46	0	0	0	212451800
